"source","id","doi","title","authors","journal","published_date","url","abstract"
"pubmed","42759629","10.1016/j.ijbiomac.2026.154403","Retinoid X receptor in motion: Subtype-specific organization and dynamics of condensate-like assemblies.","Soltys, Katarzyna; Czogalla, Aleksander; Ozyhar, Andrzej","International journal of biological macromolecules","2026-09-18","https://pubmed.ncbi.nlm.nih.gov/42759629/","Biomolecular condensates have emerged as important regulators of gene expression, yet their contribution to nuclear receptor function remains poorly understood. Here, we demonstrate that retinoid X receptors (RXRs) form distinct condensate-like assemblies, the properties of which depend on receptor subtype, ligand binding, and subcellular localization. RXRalpha, RXRbeta, and RXRgamma exhibit marked differences in spatial organization and molecular dynamics, indicating subtype-specific modes of higher-order receptor organization. Deletion analyses identify the intrinsically disordered AB region as a determinant of subtype-specific assembly organization and dynamics. In the nucleus, only 9cRA-induced RXRalpha and RXRgamma foci colocalize with transcription initiation-associated RNA polymerase II, whereas fine puncta and RXRbeta assemblies show no detectable overlap, highlighting functional heterogeneity within the nuclear RXR population. Beyond the nucleus, RXRalpha and RXRgamma form 9cRA-induced cytoplasmic droplets exhibiting liquid-like behavior, including fusion events and rapid molecular exchange, indicating that higher-order RXR organization is not restricted to the nuclear compartment. Together, our findings uncover subtype-specific and compartment-specific principles governing the organization and dynamics of RXR condensate-like assemblies and suggest that distinct assemblies contribute to compartment-specific RXR functions."
"pubmed","42759328","10.1016/j.sbi.2026.103378","Molecular simulations of chromatin-associated biomolecular condensates.","Maristany, M Julia; Russell, Kieran; Perez Lopez, Ignacio; Huertas, Jan; Collepardo-Guevara, Rosana","Current opinion in structural biology","2026-09-18","https://pubmed.ncbi.nlm.nih.gov/42759328/","Biomolecular condensates are central to nuclear organisation, and molecular simulations have most advanced our understanding of the molecular interactions that drive their formation and phase behaviour. Coarse-grained, physicochemically specific models are now able to reproduce phase diagrams, material properties, and sequence-phase space relationships with quantitative accuracy for intrinsically disordered proteins, but capturing condensates as they exist in the nucleus demands additional ingredients: explicit ionic environments, post-translational modification grammars, chromatin architecture as an explicit component, and nonequilibrium dynamics driven by active processes."
"pubmed","42757025","10.1039/d6sc02874h","Training a force field for proteins and small molecules from scratch.","Blanco-Gonzalez, Alexandre; Schulze, Thea K; Rovers, Evianne; Greener, Joe G","Chemical science","2026-09-18","https://pubmed.ncbi.nlm.nih.gov/42757025/","Force fields for molecular dynamics are usually developed manually, limiting their transferability and making systematic exploration of functional forms challenging. We developed a graph neural network that assigns all force field parameters for diverse molecules using continuous atom typing. The freely-available model, called Garnet, was trained on quantum mechanical, condensed phase and protein nuclear magnetic resonance data without the use of existing parameters. The resulting force field shows comparable performance to current force fields on small molecules, folded proteins, protein complexes and disordered proteins. It shows similar results to popular approaches for relative binding free energy predictions across a range of targets. Assessing different functional forms shows that the double exponential potential is a flexible and accurate alternative to the Lennard-Jones potential. Garnet provides a platform for automated, reproducible force field discovery that brings the benefits of machine learning to classical force fields."
"pubmed","42756412","10.3389/fbinf.2026.1907936","Conformational dynamics of fuzzy interfaces in disordered protein complexes: mapping key residues and binding modes beyond NMR models.","Fernandez, Maria Laura; Bastien, Maria Clara; Tavolaro, Franco G; Marino-Buslje, Cristina","Frontiers in bioinformatics","2026-09-18","https://pubmed.ncbi.nlm.nih.gov/42756412/","Understanding the dynamic behavior of fuzzy complexes formed by intrinsically disordered proteins (IDPs) is challenging due to their conformational flexibility. Nuclear Magnetic Resonance (NMR) structural bundles satisfy experimental constraints and inherently provide an overview of alternative conformations in solution. However, they assign equal weight to every sampled model, obscuring the temporal prevalence and dynamics of inter-residue contacts. In this study, we performed dual 1-microsecond (micros) Molecular Dynamics (MD) simulations for eight biologically relevant fuzzy complexes, utilizing the most distant conformers from deposited NMR models, as starting configurations. Through structural clustering and contact-persistence analysis, we classified the complexes into two distinct dynamic categories. The first group comprises complexes whose trajectories remain consistent with experimental data. Notably, large-scale motions such as relative chain rotations observed during simulations are already reflected as distinct orientations within the starting NMR conformers. Conversely, the second group comprises complexes that exhibit interaction modes absent in the structural NMR ensembles. These include alternative stable interfaces arising from chain reorientation, as well as highly dynamic interfaces characterized by rapidly exchanging contacts lacking any persistent stabilizing core. Furthermore, the microsecond trajectories captured intermittent dissociation and re-association events where the proteins sampled transient contacts through alternative regions. Overall, leveraging NMR models as a baseline for MD clustering and contact weighting, provides a systematic bioinformatics analysis to solve the atomistic details of flexible interfaces. Beyond categorizing diverse binding behaviors, this approach systematically refines the interaction surfaces across all studied cases, uncovers dynamic features that escape detection in ensemble-averaged NMR structures. Furthermore, it maps key residues to guide further experimental approaches, such as mutational studies or therapeutic targeting, among other applications."
"pubmed","42752885","10.1007/978-3-032-24159-7_7","Water Under Molecular Crowding: From Femtosecond H-Bond Networks Dynamics to Biological Function.","You, Xiao","Sub-cellular biochemistry","2026-09-17","https://pubmed.ncbi.nlm.nih.gov/42752885/","Cells are densely packed with macromolecules, creating a crowded environment that fundamentally alters water's hydrogen bond (H-bond) networks. H-bond networks, typically dynamic and tetrahedral in bulk water, are disrupted by macromolecular surfaces, confinement, and competitive solute interactions. Subtle shifts in H-bond lifetimes, connectivity, and reorientation dynamics cascade into large-scale biological consequences-modulating protein folding, enzymatic function, and liquid-liquid phase separation. This chapter highlights how recent advances in time-resolved vibrational spectroscopy (e.g., 2D IR) and molecular dynamics (MD) simulations unravel crowding's effects on water structure and dynamics. Emphasis is placed on how these techniques elucidate interfacial water's heterogeneous and slowed dynamics in cytoplasm-like environments, at membrane surfaces, and within membraneless biomolecular condensates. We discuss how these dynamic perturbations reshape free energy landscapes and modulate biomolecular function. Finally, the chapter proposes integrative frameworks to connect ultrafast spectroscopic and simulation data with mesoscale biophysical models. Such multiscale approaches are essential to capture the full implications of hydration under crowding, offering a pathway to understand how life is organized at the molecular level in its physiologically crowded native state."
"pubmed","42745995","10.3389/fimmu.2026.1793320","Intrinsically disordered regions in the NLRP family of receptors act as regulatory hubs for inflammasome condensation and activation.","Nava-Ramirez, Teresa B; Cuevas-Velazquez, Cesar L; Covarrubias, Alejandra A; Rudino-Pinera, Enrique; Perez-Martinez, Leonor; Pedraza-Alva, Gustavo","Frontiers in immunology","2026-09-16","https://pubmed.ncbi.nlm.nih.gov/42745995/","Inflammasomes are multiprotein complexes that orchestrate immune responses to pathogenic and sterile insults by regulating the maturation of inflammatory cytokines and pyroptotic cell death. While inflammasome activation is well-characterized at the biochemical level, the mechanisms governing the spatial and temporal assembly of these complexes remain poorly understood. Here, we uncover a critical role for intrinsically disordered regions (IDRs) in activating NLRP1, NLRP3, and NLRP14 inflammasomes. Through structural prediction analyses, we identify IDRs within these receptors that harbor post-translational modification sites essential for inflammasome assembly and function. Notably, disease-associated mutations in NLRP1 and NLRP3 occur within these IDRs, underscoring their functional relevance in inflammatory disorders. Our computational analysis suggests that IDR-mediated phase separation may drive inflammasome condensation at the perinuclear membrane, serving as a sensor for cellular stress, as stress signals may change their conformation, through post-translational modifications, and thus their interaction capacity. Furthermore, inflammasomes lacking IDRs in their NLRPs may rely on interactions with chaperone or adapter proteins containing IDRs for proper assembly. These insights provide a new framework for understanding the regulation of inflammasomes, suggesting that targeting the dynamics of phase transitions could open novel therapeutic avenues for treating inflammatory and autoimmune diseases."
"pubmed","42742140","10.1063/5.0350732","Molecular origins of pH gradients in charge-regulated biomolecular condensates.","Weng, Shuo-Lin; Rekhi, Shiv; Kim, Young C; Palmer, Jeremy C; Mittal, Jeetain","The Journal of chemical physics","2026-09-15","https://pubmed.ncbi.nlm.nih.gov/42742140/","Biomolecular condensates exhibit spontaneous electrochemical microenvironments characterized by asymmetric ion distributions and pH gradients that emerge from protein-sequence-dependent charge regulation. Despite their biological importance, mechanistic understanding of these microenvironments has been constrained by the absence of computationally tractable frameworks capable of treating proton exchange, counterion partitioning, and buffer equilibria on consistent thermodynamic footing. Here, we introduce the buffered Charge-Regulation Monte Carlo (b-CR-MC) framework, which couples grand-canonical exchange of ions and buffer species with explicit charge regulation of titratable residues. By extending the CR-MC ion-merging strategy to multicomponent reservoirs and employing the restricted primitive model, b-CR-MC achieves computational efficiency while maintaining thermodynamic rigor, achievingquantitative agreement with the more expensive generalized grand-reaction Monte Carlo approach. Applied to full-length FUS (net positive) and PGL-3 (net negative) under physiological conditions, the framework reveals sequence-dependent pH gradients: the dense phase of FUS exhibits an alkaline shift, while that of PGL-3 exhibits an acidic shift, in both cases driving the condensate interior toward the protein's isoelectric point. Slab-geometry simulations further resolve the Donnan potential and continuous ion profiles across the condensate interface, confirming the direction of these electrochemical shifts. Additionally, we identify spatially resolved buffer depletion within dense phases, establishing that dynamic charge regulation is a primary determinant rather than a secondary correction to condensate electrochemistry. By establishing a sequence-resolved, thermodynamically consistent computational platform, b-CR-MC enables quantitative prediction of how mutations and post-translational modifications reprogram condensate microenvironments across biological and pathophysiological contexts."
"pubmed","42742050","10.1002/pro.70782","Full-length brain-derived alpha-synuclein fibril models reveal fuzzy-coat control of peptide recognition.","Pintado-Grima, Carlos; Barcenas, Oriol; Tesei, Giulio; Thomasen, F Emil; Lindorff-Larsen, Kresten; Ventura, Salvador","Protein science : a publication of the Protein Society","2026-09-15","https://pubmed.ncbi.nlm.nih.gov/42742050/","alpha-Synuclein (aSyn) fibrils in Parkinson's disease are generally represented by their ordered cross-beta cores, although nearly half of the protein remains disordered in the fibrillar state. The unresolved N- and C-terminal segments form a fuzzy coat that is expected to shape the surface encountered by molecular partners. Here, we reconstructed full-length, brain-derived aSyn Lewy-fold fibrils by extending a patient-derived cryo-EM core spanning residues 31-100, with disordered termini, and sampling the resulting assemblies with the CALVADOS coarse-grained force field. The acidic C-terminal tails established recurrent, transient contacts with solvent-exposed core motifs, especially beta5/P2 and beta9/P3, generating a dynamic surface in which aggregation-prone ladders are intermittently shielded rather than permanently buried. Simulations with two experimentally validated aSyn-binding peptides, PSMalpha3 and LL-37, show that peptide recognition follows a two-step process. Cationic peptides are first retained by the anionic fuzzy coat and subsequently engage exposed hydrophobic/electrostatic hotspots on the structured core. PSMalpha3 variants and LL-37 controls support the importance of positive charge for capture, peptide flexibility for multivalent engagement, and the full-length fibril architecture for persistent binding. These results present a mechanistic model in which selectivity for aggregated aSyn arises from an emergent mesoscale interface combining a polyelectrolyte brush with recurrent core hotspots. Together, these results establish full-length, brain-derived fibril ensembles as a practical framework for understanding ligand recognition at amyloid surfaces."
"pubmed","42741995","10.1002/pro.70777","Conformational ensembles of the disordered 4E-BP2:eIF4E complex restrained by smFRET experiments.","Smyth, Spencer; Liu, Zi Hao; Tsangaris, Thomas E; Head-Gordon, Teresa; Forman-Kay, Julie D; Gradinaru, Claudiu C","Protein science : a publication of the Protein Society","2026-09-15","https://pubmed.ncbi.nlm.nih.gov/42741995/","Eukaryotic cap-dependent translation initiation is regulated by binding of the predominantly folded eukaryotic initiation factor 4E (eIF4E) to the intrinsically disordered eIF4E binding proteins (4E-BPs). Here, we report full-length atomistic conformational ensembles generated by IDPConformerGenerator and optimized by X-EISDv2 workflow for both apo 4E-BP2, the neuronal 4E-BP, and 4E-BP2 in complex with eIF4E, using data from single-molecule fluorescence and nuclear magnetic resonance (NMR), together with select coordinates from a 4E-BP1:eIF4E crystal structure. Structural sampling within dynamic complexes is often underappreciated, with NMR and crystal structure data for 4E-BP:eIF4E suggesting different degrees of structural heterogeneity. Our ensemble models validated by solution spectroscopy data enable comparison of free 4E-BP2 and its complex with eIF4E. This shows a delocalization of contacts around canonical regions, which supports previous findings of unidirectional conditional occupancy of the binding sites. Two new contact regions emerged: one between the disordered N-termini of eIF4E and 4E-BP2, which may play an allosteric role in tuning the binding affinity, and the other between the C-terminus of 4E-BP2 and an extended region of eIF4E, which is consistent with the extended, dynamic binding interface that we reported previously. These results support a model of translation regulation in which the dynamic 4E-BP2:eIF4E complex facilitates accessibility of regulatory sites of 4E-BP2 when bound."
"pubmed","42741268","10.3332/ecancer.2026.2152","The fusion of artificial intelligence and omics: a perspective toward 2035.","Canton, Enrique Diaz","Ecancermedicalscience","2026-09-15","https://pubmed.ncbi.nlm.nih.gov/42741268/","Artificial intelligence (AI) has catalyzed a revolution in the life sciences, culminating in AlphaFold's capacity to predict the static structure of proteins with atomic precision. However, this static view-analogous to a molecular radiograph-omits the fundamental dimension of protein dynamics, a critical factor for biological function and drug interaction. The phenomenon of induced fit, whereby proteins reconfigure upon ligand binding, remains largely beyond the reach of current models. This article posits that the next frontier in computational biology lies in the adoption of World Models-AI architectures such as Google DeepMind's Genie 3 and Meta AI's Joint-Embedding Predictive Architecture. Rather than predicting individual states, these models learn the underlying rules governing system evolution. We argue that applying these principles to molecular dynamics may enable the simulation of conformational trajectories, predicting how proteins move, flex, and respond to ligand binding. We explore the transformative implications for oncology, particularly in the design of allosteric modulators and in targeting historically ""undruggable"" proteins such as intrinsically disordered proteins. Finally, we delineate a roadmap toward 2035, highlighting challenges and opportunities at the convergence of generative AI and dynamic structural biology."
"pubmed","42735306","10.1073/pnas.2622980123","Maintaining transcriptome solubility constrains mRNA sequence composition.","Todisco, Marco; Ausler, Christalyn; Jain, Ankur","Proceedings of the National Academy of Sciences of the United States of America","2026-09-14","https://pubmed.ncbi.nlm.nih.gov/42735306/","RNA is built from a four-nucleotide alphabet. Complementary sequences inevitably arise, creating pervasive opportunities for promiscuous RNA-RNA interactions. Here, we show that this chemistry makes the transcriptome intrinsically prone to self-association. We simulated the simultaneous interactions of ~7,500 mRNAs representing the Escherichia coli transcriptome at physiological concentrations. These large-scale simulations predict widespread, dynamic clustering driven by RNA alone and organized by long, multivalent transcripts. Purified mRNA recapitulates this behavior in vitro, with aggregate composition mirroring model predictions. Strikingly, native mRNA sequences are markedly less prone to self-association than matched randomized controls: They fold more stably, expose shorter single-stranded regions, and form weaker intermolecular contacts. Similar signatures are observed in abundant human mRNAs, suggesting that evolution has shaped coding sequences to minimize self-association. These findings identify transcriptome solubility as an unrecognized constraint on mRNA sequence evolution and provide a framework for understanding how cells keep their transcriptomes dispersed and functional."
"pubmed","42732193","10.64898/2026.08.26.26360896","A germline KDM3C polymorphism impairs DNA repair and sensitizes to chemoradiotherapy.","Hasan, Adria; Demidova, Elena V; Priyadarshini, Pragya; Czyzewicz, Philip; Gathuka, Leonny; Murayama, Takahiko; Zhou, Yan; Kiss, Zachary Ac; Shastry, Raksha Kr; Andrake, Mark; Hearne, Gavin; Devarajan, Karthik; Wu, Chao; Shah, Anshul; Schultz, Bryant M; Connolly, Denise C; Rosen, Gail L; Canadas, Israel; Liu, Jeffrey C; Burtness, Barbara A; Smith, Jesse Joshua; Dunbrack, Roland L; Golemis, Erica A; Whetstine, Johnathan R; Meyer, Joshua E; Arora, Sanjeevani","medRxiv : the preprint server for health sciences","2026-09-13","https://pubmed.ncbi.nlm.nih.gov/42732193/","Chemoradiotherapy (CRT) is the standard-of-care therapy for many solid malignancies, yet predictive biomarkers of treatment response remain limited. We identified a germline single nucleotide polymorphism (SNP) in an intrinsically disordered region of the lysine demethylase KDM3C/JMJD1C (p.S464T) that is associated with CRT outcomes in locally advanced rectal cancers (LARC) and head and neck squamous cell carcinoma (LA-HNSCC). In silico modeling with AlphaFold predicted S464T substitution influenced interaction between phosphorylated KDM3C and RNF8 FHA domain. In cellular models, conversion of S464 to T464 increased sensitivity to DNA-damaging agents. S464T substitution impaired damage-induced MDC1-RAP80 signaling and downstream RAP80-BRCA1 colocalization. SNP carrying cells impaired DNA repair causing genotoxic stress that is associated with increased cGAS-cGAMP innate immune signaling and increased apoptosis. Population analyses with the SNP highlighted an increase incidence of UV-induced skin and other cancers, linking inherited variation in the chromatin regulatory gene KDM3C to genome instability, cancer risk, and therapeutic vulnerability."
"biorxiv","10.64898/2026.09.10.750691","10.64898/2026.09.10.750691","Mechanistic Interpretability of Protein Language Models Reveals Encoded Structural and Functional Properties of Intrinsically Disordered Proteins","Lauren Naworski; Lydia L. Good; Rob Scrutton; Tuomas P. J. Knowles","bioRxiv","2026-09-13","https://www.biorxiv.org/content/10.64898/2026.09.10.750691","Protein language models (PLMs) such as ESM-2 encode protein sequences as embeddings for downstream tasks. PLMs are trained on a masked learning objective that leverages evolutionary constraints. While interpretability studies of ESM-2 have focused on folded proteins, their behavior on intrinsically disordered proteins (IDPs), which constitute a substantial fraction of the human proteome and are implicated in numerous diseases, remains understudied. Because IDPs experience different types of evolutionary constraints on their amino acid sequences, we hypothesized that PLMs would behave differently on disordered versus folded regions. Here we show that ESM-2 exhibits reduced attention on disordered regions, yet still encodes meaningful biological signals. The model assigns heightened attention to disease-relevant residues even at high levels of disorder. Moreover, we show that both the radius of gyration and individual dynamic contact maps, key characteristics of IDPs, can be obtained from the model logits and embeddings. These findings suggest PLMs capture valuable information relevant to IDP biology despite their bias toward structured residues."
"biorxiv","10.64898/2026.09.16.752067","10.64898/2026.09.16.752067","EM3DFold: accurate de novo protein and nucleic acid model building for cryo-EM maps using language model-powered deep learning","Tao Li; Hong Cao; Sheng-You Huang","bioRxiv","2026-09-18","https://www.biorxiv.org/content/10.64898/2026.09.16.752067","Cryo-electron microscopy (cryo-EM) has become one of the most powerful techniques for macromolecular structure determination. However, accurate model building from cryo-EM maps remains challenging, particularly for nucleic acids. Here, we present EM3DFold, a unified de novo model-building framework for accurate structure determination of proteins, nucleic acids, and protein-nucleic acid complexes from cryo-EM maps using a density-aware, large language model-powered three-track attention (TTA) network. The TTA network effectively integrates sequence, density, and structural information to enable accurate all-atom model building. EM3DFold was extensively evaluated on independent benchmarks of 298 experimental cryo-EM maps at < 4.0 Å resolutions, and achieves an unprecedentedly high median accuracy of 75% completeness (88% coverage and 94% sequence accuracy) for 178 nucleic acid maps, 90% completeness (95% coverage and 96% sequence accuracy) for 124 protein-nucleic acid complexes, and 95% completeness (97% coverage and 98% sequence accuracy) for 120 protein-only targets, substantially outperforming state-of-the-art methods including ModelAngelo, EM2NA, CryoREAD, and EMProt. In addition, EM3DFold also produces models with superior model-to-map fit and stereochemical quality, providing a robust and reliable solution for automated cryo-EM model building. The EM3DFold package is freely available at https://github.com/huang-laboratory/EM3DFold."
"biorxiv","10.64898/2026.09.10.750412","10.64898/2026.09.10.750412","Agentic-AI-ready genome-wide poxvirus–host interaction screen refined by a protein language model","Jacob Marcel Anter; Jason Mercer; Artur Yakimovich","bioRxiv","2026-09-13","https://www.biorxiv.org/content/10.64898/2026.09.10.750412","Recent mpox outbreaks highlight the necessity to understand the interactions between poxviruses and the human host. These can be discovered systematically through screening for host genes involved in infection at the single-cell level using RNA interference. However, off-target effects and assay noise obscure true gene-phenotype relationships, hampering the discovery of therapeutically relevant targets. Here, we show that integrating protein-protein interaction information derived from a protein language model boosts the discovery of vaccinia virus-host interactions. We propose ICARus – a positive-unlabelled read-out refinement framework to achieve this. Our approach enhances the identification of human genes with potential antiviral function. We provide the raw and refined read-outs of a genome-wide screen for vaccinia virus host factors as an agentic-AI-enabled community resource. Our findings provide a generalisable strategy for robust hit prioritisation in functional screens, accelerating discovery across complex biological systems."
